
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  8.025E+06 5.753E-05 1.300E-07 1.300E-07 1.296E+01 3.538E+04 2.101E+05 5.717E+13 6.985E+01
  8.125E+06 1.702E-05 1.300E-07 1.300E-07 1.601E+01 2.864E+04 2.101E+05 1.932E+14 6.985E+01
  8.225E+06 5.217E-06 1.300E-07 1.300E-07 1.977E+01 2.319E+04 2.101E+05 6.305E+14 6.985E+01
  8.325E+06 1.807E-06 1.300E-07 1.300E-07 2.442E+01 1.877E+04 2.101E+05 1.820E+15 6.985E+01
  8.425E+06 6.811E-07 1.300E-07 1.300E-07 3.017E+01 1.520E+04 2.101E+05 4.829E+15 6.985E+01
  8.525E+06 2.602E-07 1.300E-07 1.300E-07 3.726E+01 1.230E+04 2.101E+05 1.264E+16 6.985E+01
  8.625E+06 9.842E-08 1.300E-07 1.300E-07 4.601E+01 9.963E+03 2.101E+05 3.342E+16 6.985E+01
  8.725E+06 3.706E-08 1.300E-07 1.300E-07 5.682E+01 8.067E+03 2.101E+05 8.876E+16 6.985E+01
  8.825E+06 1.408E-08 1.300E-07 1.300E-07 7.017E+01 6.533E+03 2.101E+05 2.335E+17 6.985E+01
  8.925E+06 5.482E-09 1.300E-07 1.300E-07 8.664E+01 5.291E+03 2.101E+05 5.999E+17 6.985E+01
  9.025E+06 2.211E-09 1.300E-07 1.300E-07 1.070E+02 4.285E+03 2.101E+05 1.488E+18 6.985E+01
  9.125E+06 9.293E-10 1.300E-07 1.300E-07 1.321E+02 3.471E+03 2.101E+05 3.539E+18 6.985E+01
  9.225E+06 4.075E-10 1.300E-07 1.300E-07 1.630E+02 2.812E+03 2.101E+05 8.072E+18 6.985E+01
  9.325E+06 1.858E-10 1.300E-07 1.300E-07 2.013E+02 2.278E+03 2.101E+05 1.770E+19 6.985E+01
  9.425E+06 8.757E-11 1.300E-07 1.300E-07 2.484E+02 1.845E+03 2.101E+05 3.756E+19 6.985E+01
  9.525E+06 4.232E-11 1.300E-07 1.300E-07 3.066E+02 1.495E+03 2.101E+05 7.772E+19 6.985E+01
  9.625E+06 2.069E-11 1.300E-07 1.300E-07 3.784E+02 1.211E+03 2.101E+05 1.590E+20 6.985E+01
  9.725E+06 9.978E-12 1.300E-07 1.300E-07 4.671E+02 9.815E+02 2.101E+05 3.296E+20 6.985E+01
  9.825E+06 4.492E-12 1.300E-07 1.300E-07 5.764E+02 7.954E+02 2.101E+05 7.322E+20 6.985E+01
  9.925E+06 1.599E-12 1.300E-07 1.300E-07 7.112E+02 6.446E+02 2.101E+05 2.057E+21 6.985E+01
